date,coupon,price
19960531,9.5,105.9092773
19960603,5.5,87.96929688
19960603,6,89.80859375
19960603,6.5,92.53417969
19960603,7,95.25292969
19960603,7.5,97.7421875
19960603,8,99.9921875
19960603,8.5,101.9907227
19960603,9,103.871582
19960603,9.5,105.9950879
19960604,5.5,88.08984375
19960604,6,89.9296875
19960604,6.5,92.68115234
19960604,7,95.37
19960604,7.5,97.859375
19960604,8,100.109375
19960604,8.5,102.1041797
19960604,9,103.9609375
19960604,9.5,106.1568164
19960605,5.5,88.27726563
19960605,6,90.11337891
19960605,6.5,92.86255859
19960605,7,95.55688477
19960605,7.5,98.0534668
19960605,8,100.2722168
19960605,8.5,102.2564258
19960605,9,104.1076758
19960605,9.5,106.2613574
19960606,5.5,88.4471875
19960606,6,90.453125
19960606,6.5,93.1790625
19960606,7,95.86
19960606,7.5,98.34375
19960606,8,100.5
19960606,8.5,102.4941406
19960606,9,104.3521875
19960606,9.5,106.4308984
19960607,5.5,87.33335938
19960607,6,89.38378906
19960607,6.5,92.13745117
19960607,7,94.89038086
19960607,7.5,97.5234375
19960607,8,99.77490234
19960607,8.5,101.8372852
19960607,9,103.7705078
19960607,9.5,105.9827832
19960610,5.5,87.1309375
19960610,6,89.171875
19960610,6.5,91.96875
19960610,7,94.71875
19960610,7.5,97.34375
19960610,8,99.66
19960610,8.5,101.71875
19960610,9,103.69
19960610,9.5,105.93875
19960611,5.5,86.99929688
19960611,6,89.05859375
19960611,6.5,91.83984375
19960611,7,94.62479911
19960611,7.5,97.28962054
19960611,8,99.55524554
19960611,8.5,101.6832143
19960611,9,103.7142857
19960611,9.5,105.9507254
19960612,5.5,86.86984375
19960612,6,88.9296875
19960612,6.5,91.71209821
19960612,7,94.48857143
19960612,7.5,97.17642857
19960612,8,99.484375
19960612,8.5,101.6464286
19960612,9,103.6930804
19960612,9.5,105.9470759
19960613,5.5,87.07945313
19960613,6,89.12890625
19960613,6.5,91.92607143
19960613,7,94.67299107
19960613,7.5,97.3240625
19960613,8,99.65011161
19960613,8.5,101.8359375
19960613,9,103.8515625
19960613,9.5,105.9740513
19960614,5.5,87.4128125
19960614,6,89.515625
19960614,6.5,92.25
19960614,7,94.97991071
19960614,7.5,97.58089286
19960614,8,99.84598214
19960614,8.5,101.984375
19960614,9,103.9955357
19960614,9.5,106.1042411
19960617,5.5,87.62632813
19960617,6,89.6875
19960617,6.5,92.3984375
19960617,7,95.1484375
19960617,7.5,97.7259375
19960617,8,99.97007813
19960617,8.5,102.06375
19960617,9,103.9103125
19960617,9.5,106.1194531
19960618,5.5,87.516875
19960618,6,89.55803571
19960618,6.5,92.30839286
19960618,7,95.05357143
19960618,7.5,97.66071429
19960618,8,99.91071429
19960618,8.5,102.02125
19960618,9,103.8925
19960618,9.5,106.1922321
19960619,5.5,87.35617188
19960619,6,89.39732143
19960619,6.5,92.15234375
19960619,7,94.89229911
19960619,7.5,97.50753348
19960619,8,99.78878348
19960619,8.5,101.9394643
19960619,9,103.8357813
19960619,9.5,106.1868862
19960620,5.5,87.29296875
19960620,6,89.33035714
19960620,6.5,92.09609375
19960620,7,94.82477679
19960620,7.5,97.45272321
19960620,8,99.73357143
19960620,8.5,101.8482143
19960620,9,103.7879464
19960620,9.5,106.1502902
19960621,5.5,87.44132813
19960621,6,89.48176339
19960621,6.5,92.23361607
19960621,7,94.98214286
19960621,7.5,97.55383929
19960621,8,99.83372768
19960621,8.5,101.9325446
19960621,9,103.8387277
19960621,9.5,106.2075335
19960624,5.5,87.55796875
19960624,6,89.59375
19960624,6.5,92.34375
19960624,7,95.078125
19960624,7.5,97.640625
19960624,8,99.8984375
19960624,8.5,101.9414063
19960624,9,103.8665625
19960624,9.5,106.2076563
19960625,5.5,87.69195313
